"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0141061","disruption of cell in another organism","10/220","115/28928",0.0869565217391304,11.4339920948617,9.81446777390416,1.96034710955381e-08,2.06279105527888e-06,1.48573675671447e-06,"Kng1/Nos2/Kng2/Ccl8/Cxcl1/Cxcl5/Camp/Cxcl10/Ppbp/Ccl11",10
"GO:0009636","response to toxic substance","13/220","234/28928",0.0555555555555556,7.30505050505051,8.47739698154134,3.28712979054069e-08,3.35081793023242e-06,2.41344529358119e-06,"Ccl3/Hp/Lcn2/S100a8/Gsta1/Mt2/Mt1/Cyp2f2/Ccl5/Abcb1a/Ptgs2/Ptges/Htr1d",13
"GO:0072677","eosinophil migration","6/220","26/28928",0.230769230769231,30.3440559440559,13.1040166740636,3.66390042345197e-08,3.62171005493949e-06,2.60855685650552e-06,"Ccl3/Ccl8/Ccl5/Ccl7/Ccl11/Ccl2",6
"GO:0071216","cellular response to biotic stimulus","16/220","378/28928",0.0423280423280423,5.56575276575277,7.82198185056775,3.86722480228824e-08,3.71026097207772e-06,2.67233614820661e-06,"Nos2/Il6/Il1a/Havcr2/Cxcl1/Cxcl5/Mmp8/Ddit3/Camp/Cxcl10/Trem2/Abcb1a/Ptgs2/Cd14/Ppbp/Ccl2",16
"GO:0030198","extracellular matrix organization","15/220","333/28928",0.045045045045045,5.92301392301392,7.90987644574276,4.63139100248102e-08,4.31645641431231e-06,3.10895179474816e-06,"Mmp13/Tnxb/Il6/Mmp3/Mmp10/Angptl7/Mmp8/Dmp1/Mfap4/Ptx3/Smoc2/Comp/Mmp9/Col28a1/Col8a2",15
"GO:0045229","external encapsulating structure organization","15/220","334/28928",0.0449101796407186,5.90528034839412,7.89334671864129,4.81690902206895e-08,4.36143543251075e-06,3.14134818334377e-06,"Mmp13/Tnxb/Il6/Mmp3/Mmp10/Angptl7/Mmp8/Dmp1/Mfap4/Ptx3/Smoc2/Comp/Mmp9/Col28a1/Col8a2",15
"GO:0043062","extracellular structure organization","15/220","335/28928",0.0447761194029851,5.8876526458616,7.87688390969612,5.00915522465944e-08,4.36143543251075e-06,3.14134818334377e-06,"Mmp13/Tnxb/Il6/Mmp3/Mmp10/Angptl7/Mmp8/Dmp1/Mfap4/Ptx3/Smoc2/Comp/Mmp9/Col28a1/Col8a2",15
"GO:0032963","collagen metabolic process","10/220","127/28928",0.078740157480315,10.353614889048,9.24781495923046,5.08076475890277e-08,4.36143543251075e-06,3.14134818334377e-06,"Mmp13/Tnxb/Il6/Mmp3/Mmp10/Mmp8/Mfap4/Mmp9/Ccl2/Adora2b",10
"GO:0010951","negative regulation of endopeptidase activity","11/220","163/28928",0.0674846625766871,8.87361963190184,8.82465250791714,5.33958105650836e-08,4.4660803605975e-06,3.21671927614754e-06,"Serpinb2/Serpina3n/Serpina3m/Serpina3i/Serpinb9b/Fetub/Ptgs2/Klf4/Serpinb9e/Serpina3g/Mmp9",11
"GO:0071222","cellular response to lipopolysaccharide","15/220","340/28928",0.0441176470588235,5.80106951871658,7.79555671948718,6.07915687412686e-08,4.95755243085045e-06,3.57070477448714e-06,"Nos2/Il6/Il1a/Havcr2/Cxcl1/Cxcl5/Mmp8/Camp/Cxcl10/Trem2/Abcb1a/Ptgs2/Cd14/Ppbp/Ccl2",15
