"primary","PC1","PC2","PC3"
"DHMR001",-0.195769717084807,-0.235056858235371,-0.0335727081309014
"DHMR002",-0.374833532474826,-0.0183832890654717,-0.339060737501025
"DHMR003",-0.367030098416285,-0.498665650967669,0.401062143294699
"DHMR004",-0.365360657171747,-0.437413608035652,0.0346088782442958
"DHMR009",-0.372865451073305,-0.0565111042018831,-0.461858694802386
"DHMR010",-0.374809047640615,0.308738752787267,-0.410625914085245
"DHMR011",-0.373570072782272,0.60215688950545,0.336447254042013
"DHMR012",-0.365936431332852,0.208101393989189,0.476170371066108
