"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR009","DHMR010","DHMR011","DHMR012"
"Anp32a",2385,4277,4388,5260,4577,3660,3525,4297
"Anp32b",5152,7428,8335,8917,8473,7310,7751,8512
"Anp32e",4652,7571,8021,9216,8390,6754,5887,6952
"Anpep",1537,5027,3332,3216,4828,7460,10131,7829
"Antxr1",2189,5162,4679,4562,5485,6527,7173,5903
"Antxr2",1791,4197,3377,3436,4696,5305,5100,4352
"Antxrl",0,2,0,1,1,2,7,8
"Anxa1",12360,21654,21562,23790,23852,22501,21551,22880
"Anxa11",1294,2623,3007,2579,2597,2474,2288,2417
"Anxa13",5,3,10,6,4,9,7,4
"Anxa2",23460,39972,44834,44665,37805,32338,31688,35257
"Anxa3",3695,8320,7026,6997,8839,9774,8941,7753
"Anxa4",5155,10238,10286,10198,10193,11028,11342,10101
"Anxa5",9449,17401,17956,18352,17138,16648,17884,17676
"Anxa6",18907,34229,38379,36162,32933,30489,26373,26060
"Anxa7",4114,8581,9801,8459,8890,9399,9748,9198
"Anxa8",3678,6899,8286,6448,6801,6737,12833,13017
"Anxa9",69,120,92,108,138,134,117,133
"Aoc1",0,0,0,1,1,1,0,0
"Aoc2",34,68,84,89,65,62,81,52
"Aoc3",636,805,819,1111,708,392,242,530
"Aox1",514,1208,1304,1226,1176,1218,1229,1134
"Aox2",2,3,4,4,2,7,7,5
"Aox3",7,25,45,46,18,31,57,41
"Aox4",1,0,0,1,0,1,1,2
"Ap1ar",898,1517,1646,1723,1785,1729,1682,1814
"Ap1b1",3118,6203,6287,5915,5923,6108,6559,5899
"Ap1g1",1885,3713,3311,3852,3856,3725,3370,3382
"Ap1g2",130,242,185,217,256,257,234,209
"Ap1m1",1592,3183,3242,2965,3139,3158,3300,3109
"Ap1s1",2293,4208,4532,4194,4109,3918,4176,4069
"Ap1s2",866,1752,1409,1758,1763,1894,1751,1861
"Ap1s3",33,87,53,57,85,57,52,63
"Ap2a1",2328,4247,4524,4194,3980,3707,4024,3970
"Ap2a2",3753,7049,6854,6834,6893,6659,6942,6757
"Ap2b1",5719,10549,9981,10437,10609,10135,10242,9802
"Ap2m1",7939,11970,13913,12854,11381,10482,11603,12087
"Ap2s1",1250,2351,2500,2251,2148,2239,2227,2227
